id,name,brand
7999,A5 Ambiente Sportb. 2.0 TFSI S tonic,Audi
8000,A5 Ambit. Plus Sport. 2.0 TFSI S tronic,Audi
8001,A5 Ambit. Sport. 2.0 TFSI S tronic,Audi
8002,A5 Attraction Sportb. 2.0 TFSI S tronic,Audi
6082,A5 Cabriolet 2.0 TFSI Quattro Stronic,Audi
6083,A5 Coupê 2.0 TFSI Quattro Stronic,Audi
6084,A5 Sportb. 2.0 16V TFSI Quat. S-tronic,Audi
8564,A5 Sportb. Perf. 2.0 TFSI Quat. S-tronic,Audi
8565,A5 Sportb. Prestige 2.0 16V TFSI S-troni,Audi
8566,A5 Sportb.Perf.B. 2.0 TFSI Quat. S-troni,Audi
8567,A5 Sportb.Prestige Plus 2.0 TFSI S-tronc,Audi
7022,A5 Sportback 1.8 TFSI 170cv Multi.,Audi
6043,A5 Sportback 2.0 16V TFSI 180cv Multi.,Audi
5234,A5 Sportback 2.0 16V TFSI 211cv Multi.,Audi
8772,A5 Sportback S-Line 2.0 TFSI S-tronic,Audi
7254,A6 2.0 TFSI 252cv S tronic 4p,Audi
100,A6 2.4 30V Mec,Audi
101,A6 2.4 30V Tip./Multitronic,Audi
102,A6 2.4 Avant 30V Mec.,Audi
103,A6 2.4 Avant 30V Tip./ Multitronic,Audi
104,A6 2.4 Avant V6 30V Quattro Mec.,Audi
105,A6 2.4 Avant V6 30V Quattro Tiptronic,Audi
106,A6 2.4 V6 30V Quattro Mec,Audi
107,A6 2.4 V6 30V Quattro Tiptronic,Audi
108,A6 2.7 30V Avant Tiptronic,Audi
109,A6 2.7 30V Mec.,Audi
110,A6 2.7 Avant Quattro Tiptronic,Audi
111,A6 2.7 Quattro Tiptronic,Audi
112,A6 2.8,Audi
113,A6 2.8 30V Mec.,Audi
114,A6 2.8 30V Tiptronic,Audi
115,A6 2.8 Avant,Audi
116,A6 2.8 Avant 30V Mec.,Audi
117,A6 2.8 Avant 30V Tiptronic,Audi
118,A6 2.8 Avant V6 30V Quattro Mec.,Audi
119,A6 2.8 Avant V6 30V Quattro Tiptronic,Audi
120,A6 2.8 V6 30V Quattro Mec.,Audi
121,A6 2.8 V6 30V Quattro Tiptronic,Audi
122,A6 3.0 Avant V6 30V 218cv Multitronic 5p,Audi
5374,A6 3.0 Avant. TB FSI V6 Quattro Tip. 5p,Audi
6413,A6 3.0 Avant.TFSI V6 Quattro S tronic 5p,Audi
4958,A6 3.0 TB FSI V6 Quattro Tiptronic,Audi
